ProbeID Probe SYMBOL Normal-like Proliferative Pigmentation High-immune
5890445 ILMN_10232 FCHSD2 -0.179296378 -0.23346834 -0.348680106 0.793796919
4730750 ILMN_10292 TBC1D7 -0.471142686 -0.661054491 1.068625362 -0.787197523
160397 ILMN_10373 MBNL1 0.329178571 -0.581705569 -0.188454976 0.566203185
3780022 ILMN_10397 RASGRP2 -0.607560361 -0.480294483 -0.564692865 1.536483965
5720221 ILMN_10539 MARVELD2 2.5574652 -0.740977427 -0.436613804 -0.130832489
730202 ILMN_10685 CDO1 -0.444207006 -0.625996067 -0.664251444 1.711942668
6060097 ILMN_10735 TIE1 -0.445657923 -0.108482203 -0.584267572 1.181395767
6020564 ILMN_10780 STK32A -0.604390214 -2.069812562 1.841195325 -1.227966125
5310369 ILMN_10868 GZMK -0.695129166 -2.119140468 0.640318299 1.126914461
1050180 ILMN_10942 C20orf20 -0.178304573 0.780691462 -0.127593624 -0.34232005
7050706 ILMN_11001 C12orf5 -0.769945795 -0.251944428 0.689721382 -0.399398052
510240 ILMN_11179 PLXNC1 -0.637836511 -1.345854472 1.111921011 -0.213954468
5560647 ILMN_11248 APOO -0.644267632 -0.118809985 0.505861706 -0.303273088
6900341 ILMN_11307 SORT1 0.269790411 -1.212624979 0.894667152 -0.48596674
5130424 ILMN_11463 STX1A -0.999068483 1.614704942 -0.270878795 -0.361638569
4280369 ILMN_11513 SDPR 0.383485068 -1.101641306 -0.92692984 2.036284754
110577 ILMN_11535 ZNF789 -0.211304821 -0.302033644 0.598127434 -0.522930741
5260575 ILMN_11783 MREG -0.043481706 -0.973498714 1.086457952 -0.791482488
1470121 ILMN_11869 SOCS6 -0.402228231 -0.130364397 0.675128489 -0.671375262
2760239 ILMN_11871 AKR1C3 0.991064751 -0.89724346 -1.343856503 2.160216357
4010681 ILMN_1199 ZNF343 -0.255378698 0.531196682 -0.129256357 -0.099179386
2000528 ILMN_12107 SDCBP -0.911860548 -0.6738825 0.91223009 -0.312505843
2470356 ILMN_12138 LYST -1.625926346 -0.197691687 1.784227472 -1.733476853
6290626 ILMN_12161 KIAA1522 2.0901448 -0.79317883 -0.193675869 -0.196142928
2760068 ILMN_12196 SH2D3C 0.208718735 -1.300364558 -0.489902588 1.647498829
150538 ILMN_12202 TUFT1 2.182151188 -0.679474711 -0.019769587 -0.591238857
2230376 ILMN_12332 CDK2 0.044801025 -0.921323488 1.168250944 -1.000269761
1820598 ILMN_12334 ICAM2 -0.045242251 -0.717302361 -0.484571477 1.308675993
60768 ILMN_12414 IRF4 -0.376121115 -2.712592543 1.539243332 0.11311517
4780239 ILMN_12421 ANKRD47 0.243977735 -0.480406305 -0.650768343 1.208663798
3840170 ILMN_12432 DHRS3 0.172163301 -0.277706386 -0.643086757 1.073538618
1050008 ILMN_12531 TSPAN10 -0.529116088 -1.663301147 1.850416929 -1.10110882
5960184 ILMN_12589 EDNRB -1.504889654 -0.290401217 1.316643806 -0.896148837
6580280 ILMN_12618 MYO5A -0.713135704 -0.851942428 0.90499718 -0.265436232
450132 ILMN_12640 BOP1 -0.288231966 0.752412993 0.124636126 -0.631006377
6350379 ILMN_12667 CCDC69 0.182715221 -1.078358819 -0.514902382 1.520429015
3780670 ILMN_12743 SLC4A3 -0.663741679 1.935548993 -0.423035001 -0.796292468
4280458 ILMN_12826 SLC3A2 -0.607213199 -0.000134991 0.773124579 -0.80996098
4070215 ILMN_12900 PRKCB1 -0.275017679 -2.199608123 -0.134501648 1.21482164
2650369 ILMN_13048 STAB1 0.00292629 -0.541742512 -0.598125367 1.309083802
6280689 ILMN_13178 DNAH2 -3.24267914 2.778020956 -0.029477243 -0.990942714
2340110 ILMN_13440 MGC13057 -0.23299194 -1.76287602 1.225565458 -0.380457844
7560541 ILMN_13528 RORA 2.252747776 -0.426604433 -0.584065035 -0.003553276
2850647 ILMN_13555 TMEM79 2.677994075 -0.14912884 -0.366053289 -0.772082257
4200037 ILMN_137280 PTPLA -0.320365 -1.636599192 1.282967384 -0.40154482
4640053 ILMN_137329 GPR180 -0.956622763 -0.034494975 0.580681266 -0.313871068
1340465 ILMN_137523 SMOX -0.277314252 0.980119942 -0.276496767 -0.23066646
3610373 ILMN_13795 DENND2C 2.621756288 -0.570159736 -0.733898933 0.134242893
620221 ILMN_138107 TIMP2 -1.480650159 -0.721656192 1.638312787 -1.035853599
6330538 ILMN_138132 TEK 0.164590871 -0.622211746 -0.672942106 1.396969419
6980719 ILMN_138180 VWF 0.20676215 -0.846934164 -0.551058052 1.37549263
